Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,F9 v1.07B0003.18,Failure,2010-06-04,18:45
2,CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.07B0004.18,Failure,2010-12-08,15:43
3,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.07B0005.18,No attempt,2012-05-22,07:44
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,F9 v1.07B0006.18,No attempt,2012-10-08,00:35
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,Success,F9 v1.07B0007.18,No attempt,2013-03-01,15:10
6,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.17B10038,Uncontrolled,2013-09-29,16:00
7,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,2013-12-03,22:41
8,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,2014-01-06,22:06
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,Success,F9 v1.1,Controlled,2014-04-18,19:25
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,2014-07-14,15:15
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,2014-08-05,08:00
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1[,No attempt,2014-09-07,05:00
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1[,Uncontrolled,2014-09-21,05:52
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1[,Failure,2015-01-10,09:47
15,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,Success,F9 v1.1[,Controlled,2015-02-11,23:03
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,Success,F9 v1.1[,No attempt,2015-03-02,03:50
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,Success,F9 v1.1[,Failure,2015-04-14,20:10
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,Success,F9 v1.1[,No attempt,2015-04-27,23:03
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1[,Precluded,2015-06-28,14:21
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,Success,F9 FT[,Success,2015-12-22,01:29
21,VAFB,Jason-3,553 kg,LEO,NASA,Success,F9 v1.1[,Failure,2016-01-17,18:42
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,Success,F9 FT[,Failure,2016-03-04,23:35
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT[,Success,2016-04-08,20:43
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,F9 FT[,Success,2016-05-06,05:21
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,Success,F9 FT[,Success,2016-05-27,21:39
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,Success,F9 FT[,Failure,2016-06-15,14:29
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,Success,F9 FT[,Success,2016-07-18,04:45
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,F9 FT[,Success,2016-08-14,05:26
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FT[,Success,2017-01-14,17:54
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,F9 FT[,Success,2017-02-19,14:39
31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,Success,F9 FT[,No attempt,2017-03-16,06:00
32,KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT♺[,Success,2017-03-30,22:27
33,KSC,NROL-76,C,LEO,NRO,Success,F9 FT[,Success,2017-05-01,11:15
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,Success,F9 FT[,No attempt,2017-05-15,23:21
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,Success,F9 FT[,Success,2017-06-03,21:07
